assumption,bear,base,bull,status
Core revenue growth 2027 / 2028,0% / 2%,3% / 4%,5% / 5%,Analyst assumption
Core EBITDA margin 2027 / 2028,18.0% / 19.0%,19.0% / 20.0%,19.5% / 20.5%,Analyst assumption
Chart revenue growth 2027 / 2028,2% / 2%,5% / 6%,6% / 7%,Analyst assumption
Chart EBITDA margin 2027 / 2028,18.5% / 20.0%,20.0% / 22.5%,21.0% / 23.0%,Analyst assumption
Target-date net leverage,2.00x,1.75x,1.55x,Analyst assumption
Exit EV / EBITDA,9.0x,10.5x,11.5x,Analyst assumption
2028 FCF conversion,45%,50%,52%,Analyst assumption
Scenario probability,25%,50%,25%,Analyst assumption
