research_snapshot,market_price_date,market_price,scenario,probability,2027E_EBITDA_bn,2028E_EBITDA_bn,target_net_leverage,exit_EV_EBITDA,target_price,upside_downside,FCF_conversion_2028,FCF_bn_2028,implied_equity_value_bn,FCF_yield
2026-09-13,2026-09-11,59.06,Bear,0.25,5.7584720414,6.2217072781,2.00,9.0,44.8223432600,-0.2410710589,0.45,2.7997682751,44.4784214201,0.0629466646
2026-09-13,2026-09-11,59.06,Base,0.50,6.2821731065,6.9682243920,1.75,10.5,62.6532918884,0.0608413798,0.50,3.4841121960,62.1725531797,0.0560393939
2026-09-13,2026-09-11,59.06,Bull,0.25,6.5854772929,7.3364299490,1.55,11.5,74.7348954620,0.2654062896,0.52,3.8149435735,74.1614546091,0.0514410566
2026-09-13,2026-09-11,59.06,Probability-weighted,1.00,,,,,61.2159556247,0.0365044975,,,,
